,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_bootstrap,param_criterion,param_max_depth,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score
0,0.08241806030273438,0.005875911231416548,0.006001615524291992,0.0014774197043994951,True,gini,1,30,"{'bootstrap': True, 'criterion': 'gini', 'max_depth': 1, 'n_estimators': 30}",0.38362573099415204,0.38362573099415204,0.38362573099415204,0.38362573099415204,0.38362573099415204,0.38362573099415204,0.3847953216374269,0.3847953216374269,0.38362573099415204,0.3840749414519906,0.3839045701685909,0.00046477540049861947,37
1,0.21941723823547363,0.021575640254705496,0.013090944290161133,0.0017580607640121284,True,gini,1,80,"{'bootstrap': True, 'criterion': 'gini', 'max_depth': 1, 'n_estimators': 80}",0.38362573099415204,0.38362573099415204,0.38362573099415204,0.38362573099415204,0.38362573099415204,0.38362573099415204,0.3847953216374269,0.3847953216374269,0.38362573099415204,0.3840749414519906,0.3839045701685909,0.00046477540049861947,37
2,0.4352018117904663,0.049393232366224823,0.02520608901977539,0.005271700274831121,True,gini,1,130,"{'bootstrap': True, 'criterion': 'gini', 'max_depth': 1, 'n_estimators': 130}",0.38362573099415204,0.38362573099415204,0.38362573099415204,0.38362573099415204,0.38362573099415204,0.38362573099415204,0.3847953216374269,0.3847953216374269,0.38362573099415204,0.3840749414519906,0.3839045701685909,0.00046477540049861947,37
3,0.21801180839538575,0.0316925895409169,0.00938851833343506,0.003380213788099318,True,gini,5,30,"{'bootstrap': True, 'criterion': 'gini', 'max_depth': 5, 'n_estimators': 30}",0.4842105263157895,0.4783625730994152,0.49005847953216375,0.4631578947368421,0.495906432748538,0.4783625730994152,0.47251461988304094,0.49005847953216375,0.47485380116959064,0.4894613583138173,0.4816946738430777,0.00951535802657072,34
4,0.4453078031539917,0.07056471472185401,0.014995503425598144,0.0007756601977784072,True,gini,5,80,"{'bootstrap': True, 'criterion': 'gini', 'max_depth': 5, 'n_estimators': 80}",0.4818713450292398,0.47953216374269003,0.5005847953216375,0.4807017543859649,0.4888888888888889,0.4853801169590643,0.4654970760233918,0.495906432748538,0.4842105263157895,0.49063231850117095,0.4853205417916375,0.0092029753366071,27
5,0.6966311454772949,0.05072669067479871,0.02328801155090332,0.0010916851519244832,True,gini,5,130,"{'bootstrap': True, 'criterion': 'gini', 'max_depth': 5, 'n_estimators': 130}",0.4853801169590643,0.4818713450292398,0.4888888888888889,0.47251461988304094,0.4888888888888889,0.4853801169590643,0.4760233918128655,0.504093567251462,0.47953216374269003,0.49063231850117095,0.4853205417916375,0.00837821979624168,27
6,0.3151280879974365,0.03322861318975948,0.010098648071289063,0.0017675735555705081,True,gini,10,30,"{'bootstrap': True, 'criterion': 'gini', 'max_depth': 10, 'n_estimators': 30}",0.5157894736842106,0.504093567251462,0.5087719298245614,0.49707602339181284,0.4888888888888889,0.512280701754386,0.49707602339181284,0.5181286549707602,0.5064327485380117,0.5058548009367682,0.5054392812632674,0.008618773121678955,13
7,0.7696156978607178,0.10054925525541251,0.021307969093322755,0.002762914998416751,True,gini,10,80,"{'bootstrap': True, 'criterion': 'gini', 'max_depth': 10, 'n_estimators': 80}",0.5134502923976608,0.504093567251462,0.5134502923976608,0.504093567251462,0.495906432748538,0.5134502923976608,0.4982456140350877,0.5286549707602339,0.5134502923976608,0.5128805620608899,0.5097675883698317,0.008999720071316013,6
8,1.2253185272216798,0.13944992961434707,0.034795165061950684,0.00697677651352325,True,gini,10,130,"{'bootstrap': True, 'criterion': 'gini', 'max_depth': 10, 'n_estimators': 130}",0.5146198830409356,0.5076023391812865,0.5169590643274854,0.49707602339181284,0.504093567251462,0.5087719298245614,0.5099415204678363,0.5169590643274854,0.5134502923976608,0.5199063231850117,0.5109380007395539,0.006546886645852018,3
9,0.49661409854888916,0.06254079069447026,0.013409996032714843,0.0012798742549559431,True,gini,20,30,"{'bootstrap': True, 'criterion': 'gini', 'max_depth': 20, 'n_estimators': 30}",0.4982456140350877,0.4865497076023392,0.49005847953216375,0.49473684210526314,0.47251461988304094,0.5146198830409356,0.4818713450292398,0.5181286549707602,0.49473684210526314,0.48360655737704916,0.49350685456811433,0.013460470550454849,22
10,1.1772050380706787,0.07563854657130309,0.03489620685577392,0.009918397551574707,True,gini,20,80,"{'bootstrap': True, 'criterion': 'gini', 'max_depth': 20, 'n_estimators': 80}",0.5029239766081871,0.504093567251462,0.5052631578947369,0.5052631578947369,0.4935672514619883,0.5087719298245614,0.4888888888888889,0.5099415204678363,0.4982456140350877,0.5105386416861827,0.5027497706013667,0.006781258549382498,16
11,1.8760040521621704,0.15200215436841177,0.04791567325592041,0.008982607107010284,True,gini,20,130,"{'bootstrap': True, 'criterion': 'gini', 'max_depth': 20, 'n_estimators': 130}",0.4982456140350877,0.49707602339181284,0.512280701754386,0.5064327485380117,0.49707602339181284,0.5134502923976608,0.49122807017543857,0.5157894736842106,0.5087719298245614,0.5199063231850117,0.5060257200377996,0.00910852936189798,12
12,0.1039900541305542,0.006478184811762866,0.00601654052734375,1.852001392195376e-05,True,entropy,1,30,"{'bootstrap': True, 'criterion': 'entropy', 'max_depth': 1, 'n_estimators': 30}",0.38362573099415204,0.38362573099415204,0.38362573099415204,0.38362573099415204,0.38362573099415204,0.38362573099415204,0.3847953216374269,0.3847953216374269,0.38362573099415204,0.3840749414519906,0.3839045701685909,0.00046477540049861947,37
13,0.3139028549194336,0.04410963094423413,0.013509249687194825,0.002658728913744967,True,entropy,1,80,"{'bootstrap': True, 'criterion': 'entropy', 'max_depth': 1, 'n_estimators': 80}",0.38362573099415204,0.38362573099415204,0.38362573099415204,0.38362573099415204,0.38362573099415204,0.38362573099415204,0.3847953216374269,0.3847953216374269,0.38362573099415204,0.3840749414519906,0.3839045701685909,0.00046477540049861947,37
14,0.5591881275177002,0.05212737297285176,0.0252025842666626,0.006200705423657579,True,entropy,1,130,"{'bootstrap': True, 'criterion': 'entropy', 'max_depth': 1, 'n_estimators': 130}",0.38362573099415204,0.38362573099415204,0.38362573099415204,0.38362573099415204,0.38362573099415204,0.38362573099415204,0.3847953216374269,0.3847953216374269,0.38362573099415204,0.3840749414519906,0.3839045701685909,0.00046477540049861947,37
15,0.361820912361145,0.012747051337230463,0.00890047550201416,0.002774966993254861,True,entropy,5,30,"{'bootstrap': True, 'criterion': 'entropy', 'max_depth': 5, 'n_estimators': 30}",0.4830409356725146,0.4818713450292398,0.49122807017543857,0.47134502923976607,0.49239766081871345,0.47719298245614034,0.47485380116959064,0.4760233918128655,0.47251461988304094,0.4964871194379391,0.4816954955695249,0.008465898579860557,33
16,0.9982339382171631,0.100872858813762,0.019189214706420897,0.003318192344176484,True,entropy,5,80,"{'bootstrap': True, 'criterion': 'entropy', 'max_depth': 5, 'n_estimators': 80}",0.47251461988304094,0.4760233918128655,0.48771929824561405,0.47251461988304094,0.49239766081871345,0.4842105263157895,0.47251461988304094,0.4982456140350877,0.4818713450292398,0.4918032786885246,0.48298149745949576,0.00895406461179321,31
17,1.608719539642334,0.17060367461341716,0.02808408737182617,0.005585982749076506,True,entropy,5,130,"{'bootstrap': True, 'criterion': 'entropy', 'max_depth': 5, 'n_estimators': 130}",0.47485380116959064,0.4865497076023392,0.49239766081871345,0.47719298245614034,0.4935672514619883,0.4842105263157895,0.47134502923976607,0.495906432748538,0.4830409356725146,0.4894613583138173,0.48485256857991976,0.007899213326384222,30
18,0.5525131464004517,0.015238016207999906,0.009794020652770996,0.0015217326704030846,True,entropy,10,30,"{'bootstrap': True, 'criterion': 'entropy', 'max_depth': 10, 'n_estimators': 30}",0.5099415204678363,0.4994152046783626,0.5064327485380117,0.49707602339181284,0.5076023391812865,0.5087719298245614,0.5029239766081871,0.5052631578947369,0.5111111111111111,0.5140515222482436,0.5062589533944151,0.004992550285429227,11
19,1.4511298894882203,0.058436894362472284,0.021891212463378905,0.0013760830978591218,True,entropy,10,80,"{'bootstrap': True, 'criterion': 'entropy', 'max_depth': 10, 'n_estimators': 80}",0.512280701754386,0.504093567251462,0.519298245614035,0.48771929824561405,0.5064327485380117,0.5157894736842106,0.5029239766081871,0.5263157894736842,0.5052631578947369,0.5128805620608899,0.5092997521125218,0.010056464647549983,7
20,2.370224928855896,0.07606270785110804,0.03510043621063232,0.003216545920426574,True,entropy,10,130,"{'bootstrap': True, 'criterion': 'entropy', 'max_depth': 10, 'n_estimators': 130}",0.5169590643274854,0.5052631578947369,0.52046783625731,0.5005847953216375,0.4994152046783626,0.5134502923976608,0.5064327485380117,0.5216374269005848,0.52046783625731,0.5175644028103045,0.5122242765383404,0.008114844709393346,2
21,0.7950164079666138,0.08629234706433565,0.013200855255126953,0.0013338527361303266,True,entropy,20,30,"{'bootstrap': True, 'criterion': 'entropy', 'max_depth': 20, 'n_estimators': 30}",0.49239766081871345,0.4830409356725146,0.5052631578947369,0.4818713450292398,0.4853801169590643,0.495906432748538,0.4982456140350877,0.4994152046783626,0.5099415204678363,0.4859484777517564,0.493741046605585,0.00916627866361581,21
22,2.127905344963074,0.17031087464456426,0.03368639945983887,0.009700570495070974,True,entropy,20,80,"{'bootstrap': True, 'criterion': 'entropy', 'max_depth': 20, 'n_estimators': 80}",0.49005847953216375,0.5052631578947369,0.5076023391812865,0.495906432748538,0.49707602339181284,0.5064327485380117,0.5017543859649123,0.5134502923976608,0.5157894736842106,0.5152224824355972,0.5048555815768931,0.008247850441113043,14
23,3.384528160095215,0.19681841141635018,0.04599146842956543,0.0035657368591481544,True,entropy,20,130,"{'bootstrap': True, 'criterion': 'entropy', 'max_depth': 20, 'n_estimators': 130}",0.495906432748538,0.5076023391812865,0.5076023391812865,0.495906432748538,0.49005847953216375,0.5076023391812865,0.5029239766081871,0.5181286549707602,0.5134502923976608,0.5058548009367682,0.5045036087486475,0.008095041755394241,15
24,0.07990415096282959,0.004391706145077033,0.006104755401611328,0.0007026431578394723,False,gini,1,30,"{'bootstrap': False, 'criterion': 'gini', 'max_depth': 1, 'n_estimators': 30}",0.38362573099415204,0.38362573099415204,0.38362573099415204,0.38362573099415204,0.38362573099415204,0.38362573099415204,0.3847953216374269,0.3847953216374269,0.38362573099415204,0.3840749414519906,0.3839045701685909,0.00046477540049861947,37
25,0.20149784088134765,0.0058485822498010424,0.012600445747375488,0.0010046410186354041,False,gini,1,80,"{'bootstrap': False, 'criterion': 'gini', 'max_depth': 1, 'n_estimators': 80}",0.38362573099415204,0.38362573099415204,0.38362573099415204,0.38362573099415204,0.38362573099415204,0.38362573099415204,0.3847953216374269,0.3847953216374269,0.38362573099415204,0.3840749414519906,0.3839045701685909,0.00046477540049861947,37
26,0.32958502769470216,0.007766230188751219,0.019717311859130858,0.002533500442779254,False,gini,1,130,"{'bootstrap': False, 'criterion': 'gini', 'max_depth': 1, 'n_estimators': 130}",0.38362573099415204,0.38362573099415204,0.38362573099415204,0.38362573099415204,0.38362573099415204,0.38362573099415204,0.3847953216374269,0.3847953216374269,0.38362573099415204,0.3840749414519906,0.3839045701685909,0.00046477540049861947,37
27,0.21039888858795167,0.01528485488645857,0.007010340690612793,0.0007802955975624712,False,gini,5,30,"{'bootstrap': False, 'criterion': 'gini', 'max_depth': 5, 'n_estimators': 30}",0.4631578947368421,0.47251461988304094,0.4935672514619883,0.4760233918128655,0.47719298245614034,0.4830409356725146,0.47368421052631576,0.49707602339181284,0.4888888888888889,0.49063231850117095,0.48157785173315804,0.010272973962675415,35
28,0.5380104541778564,0.016422640438362966,0.015200567245483399,0.0008715727537668821,False,gini,5,80,"{'bootstrap': False, 'criterion': 'gini', 'max_depth': 5, 'n_estimators': 80}",0.4807017543859649,0.4842105263157895,0.4888888888888889,0.4678362573099415,0.4842105263157895,0.4760233918128655,0.47251461988304094,0.49239766081871345,0.4830409356725146,0.49063231850117095,0.482045687990468,0.007542611747369574,32
29,0.8755056858062744,0.018157091572698528,0.02290198802947998,0.0007101780538946424,False,gini,5,130,"{'bootstrap': False, 'criterion': 'gini', 'max_depth': 5, 'n_estimators': 130}",0.48771929824561405,0.4842105263157895,0.4842105263157895,0.47251461988304094,0.4935672514619883,0.47719298245614034,0.47953216374269003,0.49707602339181284,0.48771929824561405,0.4929742388758782,0.4856716928934358,0.007355760239542626,25
30,0.3656377077102661,0.020785983547285395,0.00920710563659668,0.000987570185964151,False,gini,10,30,"{'bootstrap': False, 'criterion': 'gini', 'max_depth': 10, 'n_estimators': 30}",0.5134502923976608,0.5087719298245614,0.5099415204678363,0.5111111111111111,0.5017543859649123,0.504093567251462,0.5052631578947369,0.5111111111111111,0.5111111111111111,0.5105386416861827,0.5087146828820686,0.0035525104255018326,8
31,0.9763208389282226,0.030794682091974945,0.022002267837524413,0.0017320962250219813,False,gini,10,80,"{'bootstrap': False, 'criterion': 'gini', 'max_depth': 10, 'n_estimators': 80}",0.5169590643274854,0.5064327485380117,0.5169590643274854,0.49473684210526314,0.5029239766081871,0.5017543859649123,0.5029239766081871,0.5298245614035088,0.5157894736842106,0.5105386416861827,0.5098842735253435,0.009681757270856734,5
32,1.579720687866211,0.042722175643220936,0.03260040283203125,0.0012096768751258002,False,gini,10,130,"{'bootstrap': False, 'criterion': 'gini', 'max_depth': 10, 'n_estimators': 130}",0.519298245614035,0.5017543859649123,0.52046783625731,0.5029239766081871,0.5017543859649123,0.5134502923976608,0.5017543859649123,0.5134502923976608,0.5157894736842106,0.5140515222482436,0.5104694797102045,0.007222266183415835,4
33,0.6513008117675781,0.044606305836220765,0.013995027542114258,0.001680033939039542,False,gini,20,30,"{'bootstrap': False, 'criterion': 'gini', 'max_depth': 20, 'n_estimators': 30}",0.4830409356725146,0.47953216374269003,0.48771929824561405,0.4935672514619883,0.49707602339181284,0.4888888888888889,0.4888888888888889,0.47485380116959064,0.49005847953216375,0.5081967213114754,0.4891822452305627,0.008844854409641275,23
34,1.585523819923401,0.02285028645559417,0.031200933456420898,0.0007493846680591723,False,gini,20,80,"{'bootstrap': False, 'criterion': 'gini', 'max_depth': 20, 'n_estimators': 80}",0.4994152046783626,0.4994152046783626,0.5076023391812865,0.512280701754386,0.48771929824561405,0.504093567251462,0.4853801169590643,0.5029239766081871,0.4994152046783626,0.49414519906323184,0.49923908130983197,0.007924578364488085,18
35,2.579023551940918,0.037110576107868616,0.05079894065856934,0.006555999001371576,False,gini,20,130,"{'bootstrap': False, 'criterion': 'gini', 'max_depth': 20, 'n_estimators': 130}",0.5017543859649123,0.49122807017543857,0.5134502923976608,0.5005847953216375,0.4842105263157895,0.5111111111111111,0.4842105263157895,0.5111111111111111,0.504093567251462,0.5046838407494145,0.5006438226714327,0.010204685656564683,17
36,0.11002063751220703,0.005097937946920612,0.00588839054107666,0.0007082379261888048,False,entropy,1,30,"{'bootstrap': False, 'criterion': 'entropy', 'max_depth': 1, 'n_estimators': 30}",0.38362573099415204,0.38362573099415204,0.38362573099415204,0.38362573099415204,0.38362573099415204,0.38362573099415204,0.3847953216374269,0.3847953216374269,0.38362573099415204,0.3840749414519906,0.3839045701685909,0.00046477540049861947,37
37,0.2904163122177124,0.011001018383930928,0.012204504013061524,0.001398236881711064,False,entropy,1,80,"{'bootstrap': False, 'criterion': 'entropy', 'max_depth': 1, 'n_estimators': 80}",0.38362573099415204,0.38362573099415204,0.38362573099415204,0.38362573099415204,0.38362573099415204,0.38362573099415204,0.3847953216374269,0.3847953216374269,0.38362573099415204,0.3840749414519906,0.3839045701685909,0.00046477540049861947,37
38,0.4889161825180054,0.014884046011009268,0.018597674369812012,0.000651511100776385,False,entropy,1,130,"{'bootstrap': False, 'criterion': 'entropy', 'max_depth': 1, 'n_estimators': 130}",0.38362573099415204,0.38362573099415204,0.38362573099415204,0.38362573099415204,0.38362573099415204,0.38362573099415204,0.3847953216374269,0.3847953216374269,0.38362573099415204,0.3840749414519906,0.3839045701685909,0.00046477540049861947,37
39,0.4573348522186279,0.02366590134720039,0.0077885866165161135,0.0006027918037683973,False,entropy,5,30,"{'bootstrap': False, 'criterion': 'entropy', 'max_depth': 5, 'n_estimators': 30}",0.47134502923976607,0.46900584795321637,0.47485380116959064,0.47485380116959064,0.47953216374269003,0.4865497076023392,0.47953216374269003,0.49473684210526314,0.4842105263157895,0.49063231850117095,0.4805252201542106,0.00798294253890021,36
40,1.1303960084915161,0.08119692282568398,0.015312623977661134,0.0010994516097239469,False,entropy,5,80,"{'bootstrap': False, 'criterion': 'entropy', 'max_depth': 5, 'n_estimators': 80}",0.4783625730994152,0.47719298245614034,0.4982456140350877,0.4783625730994152,0.49473684210526314,0.4842105263157895,0.47134502923976607,0.4982456140350877,0.47719298245614034,0.4964871194379391,0.48543818562800434,0.009863183744581745,26
41,1.8014976978302002,0.0744371250244097,0.02411227226257324,0.002432388023186885,False,entropy,5,130,"{'bootstrap': False, 'criterion': 'entropy', 'max_depth': 5, 'n_estimators': 130}",0.47485380116959064,0.4853801169590643,0.49239766081871345,0.47368421052631576,0.5005847953216375,0.4830409356725146,0.47485380116959064,0.4994152046783626,0.4783625730994152,0.49063231850117095,0.4853205417916375,0.009581651990390083,27
42,0.7732052087783814,0.01588310730059161,0.009404921531677246,0.0006660812152841907,False,entropy,10,30,"{'bootstrap': False, 'criterion': 'entropy', 'max_depth': 10, 'n_estimators': 30}",0.5157894736842106,0.5099415204678363,0.5076023391812865,0.4888888888888889,0.49239766081871345,0.5146198830409356,0.5017543859649123,0.5146198830409356,0.512280701754386,0.5128805620608899,0.5070775298902995,0.009129946725440591,10
43,2.0693209648132322,0.06785881619943375,0.021505022048950197,0.001343131348711551,False,entropy,10,80,"{'bootstrap': False, 'criterion': 'entropy', 'max_depth': 10, 'n_estimators': 80}",0.5181286549707602,0.5029239766081871,0.5146198830409356,0.4994152046783626,0.5005847953216375,0.5111111111111111,0.495906432748538,0.5169590643274854,0.512280701754386,0.5035128805620609,0.5075442705123464,0.0075725983462713795,9
44,3.346135973930359,0.13674705588956862,0.033496856689453125,0.0009260690345378352,False,entropy,10,130,"{'bootstrap': False, 'criterion': 'entropy', 'max_depth': 10, 'n_estimators': 130}",0.5181286549707602,0.512280701754386,0.512280701754386,0.495906432748538,0.5146198830409356,0.5146198830409356,0.5099415204678363,0.52046783625731,0.519298245614035,0.5105386416861827,0.5128082501335306,0.006597403603840849,1
45,1.197516393661499,0.16593605847947082,0.013197803497314453,0.0009695881022180657,False,entropy,20,30,"{'bootstrap': False, 'criterion': 'entropy', 'max_depth': 20, 'n_estimators': 30}",0.4818713450292398,0.47719298245614034,0.4994152046783626,0.4982456140350877,0.4842105263157895,0.495906432748538,0.47017543859649125,0.48771929824561405,0.4982456140350877,0.4894613583138173,0.4882443814454168,0.009438262918728048,24
46,3.033525323867798,0.11309528136852673,0.03159728050231934,0.0016864979900905025,False,entropy,20,80,"{'bootstrap': False, 'criterion': 'entropy', 'max_depth': 20, 'n_estimators': 80}",0.49239766081871345,0.49239766081871345,0.5005847953216375,0.495906432748538,0.4935672514619883,0.4842105263157895,0.48771929824561405,0.5146198830409356,0.504093567251462,0.5011709601873536,0.49666680362107457,0.008336433342571491,20
47,5.0339174509048465,0.24170735360126896,0.050596070289611814,0.002211933049377158,False,entropy,20,130,"{'bootstrap': False, 'criterion': 'entropy', 'max_depth': 20, 'n_estimators': 130}",0.495906432748538,0.49239766081871345,0.504093567251462,0.4982456140350877,0.4935672514619883,0.5087719298245614,0.47953216374269003,0.5064327485380117,0.504093567251462,0.4964871194379391,0.4979528055110454,0.008125362565232656,19
